
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    10.11.58.141:51839     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51840     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51842     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51843     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51845     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51846     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51848     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51849     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51851     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51852     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51854     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51855     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51857     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51859     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51860     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51862     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51863     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51865     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51866     10.41.255.9:http       ESTABLISHED
  TCP    10.11.58.141:51868     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51870     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51871     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51873     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51874     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51876     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51877     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51879     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51881     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51882     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51884     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51885     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51887     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51888     10.41.255.9:http       TIME_WAIT
