
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    10.11.72.56:51597      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51598      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51599      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51600      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51601      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51602      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51603      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51604      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51605      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51606      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51607      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51608      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51609      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51610      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51611      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51612      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51613      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51614      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51615      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51616      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51617      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51618      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51619      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51620      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51621      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51622      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51623      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51624      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51625      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51626      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51627      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51628      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51629      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51630      10.41.255.9:http       TIME_WAIT
  
